,week,staff_id,staff_name,role,service,present,month,available_beds,patients_request,patients_admitted,patients_refused,patient_satisfaction,staff_morale,event,avg_patient_satisfaction,avg_patient_age,total_patients
0,1,STF-b77cdc60,Allison Hill,doctor,emergency,1,1,32,76,32,44,67,70,none,79.54752852,45.3269962,263
1,2,STF-b77cdc60,Allison Hill,doctor,emergency,1,1,28,169,28,141,75,64,none,79.54752852,45.3269962,263
2,3,STF-b77cdc60,Allison Hill,doctor,emergency,0,1,32,177,32,145,73,58,flu,79.54752852,45.3269962,263
3,4,STF-b77cdc60,Allison Hill,doctor,emergency,1,1,32,157,32,125,83,75,none,79.54752852,45.3269962,263
4,5,STF-b77cdc60,Allison Hill,doctor,emergency,1,2,25,388,25,363,93,72,flu,79.54752852,45.3269962,263
5,6,STF-b77cdc60,Allison Hill,doctor,emergency,0,2,34,198,34,164,72,76,flu,79.54752852,45.3269962,263
6,7,STF-b77cdc60,Allison Hill,doctor,emergency,1,2,33,127,33,94,65,77,none,79.54752852,45.3269962,263
7,8,STF-b77cdc60,Allison Hill,doctor,emergency,1,2,26,240,26,214,96,75,flu,79.54752852,45.3269962,263
8,9,STF-b77cdc60,Allison Hill,doctor,emergency,0,3,28,113,28,85,82,86,none,79.54752852,45.3269962,263
9,10,STF-b77cdc60,Allison Hill,doctor,emergency,1,3,17,130,17,113,81,60,none,79.54752852,45.3269962,263
10,11,STF-b77cdc60,Allison Hill,doctor,emergency,1,3,16,97,16,81,98,72,donation,79.54752852,45.3269962,263
11,12,STF-b77cdc60,Allison Hill,doctor,emergency,0,3,28,347,28,319,68,83,flu,79.54752852,45.3269962,263
12,13,STF-b77cdc60,Allison Hill,doctor,emergency,1,4,23,142,23,119,77,95,none,79.54752852,45.3269962,263
13,14,STF-b77cdc60,Allison Hill,doctor,emergency,1,4,15,97,15,82,71,71,none,79.54752852,45.3269962,263
14,15,STF-b77cdc60,Allison Hill,doctor,emergency,0,4,17,53,17,36,94,98,none,79.54752852,45.3269962,263
15,16,STF-b77cdc60,Allison Hill,doctor,emergency,1,4,23,144,23,121,62,89,none,79.54752852,45.3269962,263
16,17,STF-b77cdc60,Allison Hill,doctor,emergency,1,5,21,133,21,112,84,73,none,79.54752852,45.3269962,263
17,18,STF-b77cdc60,Allison Hill,doctor,emergency,0,5,18,100,18,82,81,80,donation,79.54752852,45.3269962,263
18,19,STF-b77cdc60,Allison Hill,doctor,emergency,1,5,16,70,16,54,99,45,strike,79.54752852,45.3269962,263
19,20,STF-b77cdc60,Allison Hill,doctor,emergency,1,5,21,45,21,24,93,81,none,79.54752852,45.3269962,263
20,21,STF-b77cdc60,Allison Hill,doctor,emergency,0,6,18,95,18,77,88,63,none,79.54752852,45.3269962,263
21,22,STF-b77cdc60,Allison Hill,doctor,emergency,0,6,16,129,16,113,69,68,none,79.54752852,45.3269962,263
22,23,STF-b77cdc60,Allison Hill,doctor,emergency,1,6,22,54,22,32,62,50,none,79.54752852,45.3269962,263
23,24,STF-b77cdc60,Allison Hill,doctor,emergency,0,6,18,105,18,87,70,78,none,79.54752852,45.3269962,263
24,25,STF-b77cdc60,Allison Hill,doctor,emergency,0,7,15,48,15,33,72,72,none,79.54752852,45.3269962,263
25,26,STF-b77cdc60,Allison Hill,doctor,emergency,1,7,18,96,18,78,87,63,none,79.54752852,45.3269962,263
26,27,STF-b77cdc60,Allison Hill,doctor,emergency,0,7,15,67,15,52,82,78,none,79.54752852,45.3269962,263
27,28,STF-b77cdc60,Allison Hill,doctor,emergency,1,7,15,69,15,54,78,66,donation,79.54752852,45.3269962,263
28,29,STF-b77cdc60,Allison Hill,doctor,emergency,1,8,16,92,16,76,72,99,none,79.54752852,45.3269962,263
29,30,STF-b77cdc60,Allison Hill,doctor,emergency,0,8,16,85,16,69,91,94,none,79.54752852,45.3269962,263
30,31,STF-b77cdc60,Allison Hill,doctor,emergency,0,8,20,48,20,28,69,81,none,79.54752852,45.3269962,263
31,32,STF-b77cdc60,Allison Hill,doctor,emergency,1,8,20,89,20,69,76,58,none,79.54752852,45.3269962,263
32,33,STF-b77cdc60,Allison Hill,doctor,emergency,0,9,28,54,28,26,92,56,donation,79.54752852,45.3269962,263
33,34,STF-b77cdc60,Allison Hill,doctor,emergency,0,9,21,31,21,10,64,60,strike,79.54752852,45.3269962,263
34,35,STF-b77cdc60,Allison Hill,doctor,emergency,1,9,15,81,15,66,93,77,none,79.54752852,45.3269962,263
35,36,STF-b77cdc60,Allison Hill,doctor,emergency,0,9,28,115,28,87,70,88,none,79.54752852,45.3269962,263
36,37,STF-b77cdc60,Allison Hill,doctor,emergency,0,10,23,110,23,87,76,54,none,79.54752852,45.3269962,263
37,38,STF-b77cdc60,Allison Hill,doctor,emergency,1,10,22,71,22,49,67,53,none,79.54752852,45.3269962,263
38,39,STF-b77cdc60,Allison Hill,doctor,emergency,0,10,20,67,20,47,85,95,none,79.54752852,45.3269962,263
39,40,STF-b77cdc60,Allison Hill,doctor,emergency,1,10,18,57,18,39,81,43,strike,79.54752852,45.3269962,263
40,41,STF-b77cdc60,Allison Hill,doctor,emergency,1,11,27,92,27,65,69,88,none,79.54752852,45.3269962,263
41,42,STF-b77cdc60,Allison Hill,doctor,emergency,0,11,24,99,24,75,67,89,none,79.54752852,45.3269962,263
42,43,STF-b77cdc60,Allison Hill,doctor,emergency,1,11,21,171,21,150,70,79,none,79.54752852,45.3269962,263
43,44,STF-b77cdc60,Allison Hill,doctor,emergency,1,11,27,138,27,111,74,60,none,79.54752852,45.3269962,263
44,45,STF-b77cdc60,Allison Hill,doctor,emergency,0,12,32,193,32,161,72,92,none,79.54752852,45.3269962,263
45,46,STF-b77cdc60,Allison Hill,doctor,emergency,1,12,36,187,36,151,64,93,none,79.54752852,45.3269962,263
46,47,STF-b77cdc60,Allison Hill,doctor,emergency,1,12,22,91,22,69,63,54,strike,79.54752852,45.3269962,263
47,48,STF-b77cdc60,Allison Hill,doctor,emergency,0,12,20,165,20,145,99,89,none,79.54752852,45.3269962,263
48,49,STF-b77cdc60,Allison Hill,doctor,emergency,1,12,26,137,26,111,92,86,none,79.54752852,45.3269962,263
49,50,STF-b77cdc60,Allison Hill,doctor,emergency,1,12,24,101,24,77,63,61,none,79.54752852,45.3269962,263
50,51,STF-b77cdc60,Allison Hill,doctor,emergency,0,12,31,123,31,92,71,75,none,79.54752852,45.3269962,263
51,52,STF-b77cdc60,Allison Hill,doctor,emergency,1,12,26,130,26,104,88,63,none,79.54752852,45.3269962,263
52,1,STF-5e560b99,Noah Rhodes,doctor,emergency,1,1,32,76,32,44,67,70,none,79.54752852,45.3269962,263
